"","GSM15785","GSM15786","GSM15787","GSM15788","GSM15789","GSM15790","GSM15791","GSM15792","GSM15794","GSM15795"
"1007_s_at",372.222116096536,-370.728663025542,-363.408157612336,-206.948940604239,-97.7362707596469,-157.174828586508,37.8198469824621,-292.924298644012,79.14429972336,-7.11092443822089
"1053_at",418.321419216674,-456.693312478244,-453.532719601096,-209.956410870158,-70.4395588275976,-293.002354575154,-163.484186039071,-50.2392774577782,73.7690732215108,-19.7505973629191
"117_at",446.476784888136,-494.071214669583,-459.618769417649,-201.990129674029,-102.839583760335,-312.90377252865,-187.355978756413,-26.5244030925202,83.5658757491605,-25.6038250485002
"121_at",444.62536932026,-407.755516279121,-452.971458313685,-224.405294946454,-120.540931120665,-211.444636278128,-30.3615541258254,-267.920812146979,74.1738480109768,-8.88030636042133
"1255_g_at",365.195021733194,-368.865169946413,-327.579793829567,-183.616694895848,-86.1731610910802,-183.965131902684,-106.466078368231,-122.659450008757,61.5693273014841,-17.5888929548682
"1294_at",331.642325903664,-331.877261127495,-321.69714436643,-176.602748564105,-90.7912037923014,-150.492043667375,-22.6331732245116,-221.823171177019,52.9174671608283,-6.02617589582653
"1316_at",311.881949135533,-259.396289596153,-242.102605141481,-91.5332132197637,-50.056610421106,-177.53000842868,-177.170832049165,139.098440460451,61.0589644363886,7.66581194371016
"1320_at",414.8967035513,-401.399742954396,-386.024111110804,-200.683119862363,-82.7329568456955,-220.353918201307,-92.8417255121546,-113.508219875719,50.9709548346472,-11.9073711263976
"1405_i_at",370.452238229044,-361.028130242019,-358.474837503387,-202.950484212244,-81.2739865678536,-180.937213007844,-67.6714532069454,-204.491277366555,47.9410269400363,0.713304957108124
"1431_at",346.142099440655,-344.961598816399,-363.309931498773,-185.852717801109,-130.878251453406,-185.542490386803,-20.1092938330807,-221.54673734706,57.7012033259017,0.77272097958916
"1438_at",363.359547544139,-354.507899095337,-322.86354931195,-146.938039896369,-62.8388704890177,-245.074445476571,-200.57303303216,110.755672312344,73.4638381997625,16.4399481464005
"1487_at",431.769653664254,-457.638052830911,-417.22045235243,-183.841228885636,-77.6613323618764,-308.710154489964,-219.30511665267,39.2505931576643,70.6566977027099,-8.06171676359653
"1494_f_at",478.780874739876,-484.574643953133,-493.346397941226,-213.287528837977,-115.476874079594,-289.44328925362,-135.579021761485,-82.9922870334129,98.6071049396619,-7.80974428721407
"1598_g_at",416.14745512747,-413.915226763286,-410.882194420671,-210.23812476687,-79.881323966465,-267.65181027108,-132.4175310956,-48.5537104754901,77.4032624234316,-2.48248757988735
"160020_at",308.635219365963,-289.875599107679,-277.2196799165,-139.58660224961,-117.717266363798,-112.907073736332,-38.8435268785635,-105.330463654188,66.2679508125728,-0.500612510436375
"1729_at",341.548146541885,-325.450976946578,-317.353214425108,-169.34707007919,-106.43303087321,-155.988838556925,-13.6287267412617,-236.417775551412,70.9959306475693,-11.2345347241148
"1773_at",457.878424673555,-434.317378439815,-411.847192409509,-169.573822639419,-69.590711943837,-308.190811868729,-255.808954821247,164.493271863261,83.7735454981572,-44.8057499827939
"177_at",225.821556577947,-240.378875365047,-195.04566945219,-171.837125655196,-90.9055605571344,-42.07253319143,73.8775507393244,-283.578048259661,44.0229077790608,-4.0151199874777
"179_at",113.150908635029,-49.1856464351394,-89.2872932449282,-105.698759611851,-92.9403548498884,50.9732415011546,89.6295679198916,-275.438162202645,32.49852460013,20.0742819829278
"1861_at",450.1764153591,-476.082249693924,-476.430833294674,-244.612197215815,-121.801240589462,-217.25370101775,-11.1272087058805,-396.379758016799,66.7648765784572,-22.5428174435146
"200000_s_at",357.993982557353,-323.822970201828,-347.276831788055,-220.998201805858,-104.510805660636,-156.137895634868,3.42047313259943,-305.220347575461,54.4372766889714,9.6659866189992
"200001_at",417.160979261168,-411.431194148278,-403.626148227615,-194.670254135016,-83.0851198094522,-189.838777649384,-18.4976406960769,-322.872774324071,72.8437587596139,0.00854188514572091
"200002_at",388.134385851219,-370.144278016446,-362.824133953056,-211.359037089255,-88.7910559139805,-180.384959296588,-4.92168265816499,-200.78640900892,52.7742674807704,-2.76123434435232
"200003_s_at",442.130967285465,-402.236882389573,-413.501412854555,-249.951659266614,-164.808274641846,-183.463605080372,73.972358803873,-515.601599446436,55.5726813291042,-5.70462550697254
"200004_at",353.527645517966,-366.390415483599,-321.926421560913,-147.301934040221,-70.4295161566147,-237.68924050151,-161.467197842905,47.685612768943,54.6885484167729,-14.149873022928
"200005_at",251.928131140893,-246.058482796671,-248.108665053886,-136.736663053097,-128.79520851279,-60.8909747116092,46.8967204615125,-281.233737110749,62.7864707028506,-6.0753381351521
"200006_at",446.067774920713,-443.375022490603,-437.698721436167,-191.245332775709,-102.483793492699,-282.248070109518,-182.939380755807,-2.88534364439518,72.6485530704218,5.08192785710823
"200007_at",468.628485594397,-477.110214394894,-452.680686840435,-213.747068813296,-84.025171586153,-253.535036900529,-147.508849238547,-138.366945216046,72.3250786623549,-29.2782109355842
"200008_s_at",355.948343582291,-326.537093609806,-366.597886923083,-203.136629996668,-116.29060984749,-98.7826272565972,55.1196392733011,-358.491292996447,57.2224051018651,7.09151642248506
"200009_at",419.417824076408,-426.936683651814,-370.947563077814,-173.724625733047,-105.290836305522,-232.487982244035,-109.841960050359,-86.8192283248073,83.9173156007595,10.7690631802686
"200010_at",592.552886571353,-624.999018855607,-624.736712942896,-299.77326410789,-112.346369863386,-377.00212229114,-130.476934182457,-282.652200672804,91.0194666184919,3.96301010197792
"200011_s_at",138.484230440422,-122.562537702744,-104.463203973229,-105.689617459855,-72.9672617684609,-15.6062551260062,27.5752405106184,-105.156557592958,47.0194657927669,21.3414006276569
"200012_x_at",424.027092888644,-431.268674468,-420.738805061522,-195.372378938691,-85.2842152714365,-257.99345517046,-114.353509201186,-90.468748324024,96.9722436657461,-11.332710491062
"200013_at",250.747420776548,-256.784552646056,-221.160006454946,-178.127780192277,-104.81229411408,-73.7315088285282,9.22975267840641,-230.203995088575,82.4595673764532,-7.00130787168905
"200014_s_at",423.661833883069,-436.896827888187,-415.547699215633,-261.185449063911,-104.132678274509,-230.094587415834,-14.8259269470014,-279.390413922785,76.0052425306769,-14.8282812668875
"200015_s_at",194.297604038684,-152.481755002345,-164.103492949659,-99.7379574019005,-53.3113370600797,-30.6405510168289,27.8528478727341,-186.053331379477,16.992139676458,9.46316891436296
